,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
129,18-Jun-2017,2017,Unprovoked,REUNION,UNKNOWN,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",2017,JUN,BOARDING,No,NO INJURY,BULL
130,17-Jun-2017,2017,Unprovoked,SPAIN,IBIZA ISLAND,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,UNKNOWN,2017,JUN,SWIMMING,No,LACERATIONS,UNKONWN
131,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,MARQUESAS,"Atuona Bay, Hiva Oa Island",Surfing,M,UNKNOWN,Injuries to hand and wrist,N,UNKNOWN,UNKNOWN,2017,UNKNOWN,SURFING,No,INJURED,UNKONWN
132,Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,UNKNOWN,UNKNOWN,Feeding sharks,F,UNKNOWN,Fingernail pulled off ,N,UNKNOWN,UNKNOWN,2017,JUN,FEEDING,No,OTHERS,UNKONWN
133,11-Jun-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",2017,JUN,BOARDING,No,NO INJURY,WHITE
134,10-Jun-2017,2017,Unprovoked,AUSTRALIA,VICTORIA,"Flinders, Mornington Penisula",Surfing,F,UNKNOWN,"No injury, knocked off board",N,15h45,Seven-gill shark,2017,JUN,SURFING,No,NO INJURY,GILL
135,10-Jun-2017,2017,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10h00,UNKNOWN,2017,JUN,SURFING,No,LACERATIONS,UNKONWN
136,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,SOUTH DEVON,Bantham Beach,Surfing,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,UNKNOWN,"3m shark, probably a smooth hound",2017,JUN,SURFING,No,OTHERS,UNKONWN
137,04-Jun-2017,2017,Unprovoked,USA,FLORIDA,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,UNKNOWN,Laceration to shin,N,UNKNOWN,8' shark,2017,JUN,SPEARFISHING,No,LACERATIONS,UNKONWN
138,02-Jun-2017,2017,Unprovoked,BAHAMAS,NEW PROVIDENCE,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,2017,JUN,SNORKELING,No,LIMB SEVERED,TIGER
139,30-May-2017,2017,Provoked,USA,SOUTH CAROLINA,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,3' shark,2017,MAY,TOUCHING,No,BITTEN,UNKONWN
140,28-May-2017,2017,Unprovoked,USA,FLORIDA,Off Jupiter,Feeding sharks,M,UNKNOWN,Lacerations to right arm,N,Morning,Tiger shark,2017,MAY,FEEDING,No,LACERATIONS,TIGER
142,12-May-2017,2017,Unprovoked,UNITED ARAB EMIRATES,"SHARJAH,",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,Morning,UNKNOWN,2017,MAY,SPEARFISHING,No,BITTEN,UNKONWN
143,Reported 06-May-2017,2017,Provoked,AUSTRALIA,QUEENSLAND,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,UNKNOWN,9' shark,2017,MAY,ATTEMPTING,No,OTHERS,UNKONWN
144,05-May-2017,2017,Unprovoked,MEXICO,BAJA CALIFORNIA SUR,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17h00,UNKNOWN,2017,MAY,SNORKELING,No,FATAL INJURY,UNKONWN
146,29-Apr-2017,2017,Unprovoked,USA,CALIFORNIA,"San Onofre, San Diego County",Swimming,F,UNKNOWN,Major injury to posterior thigh,N,17h34,UNKNOWN,2017,APR,SWIMMING,No,INJURED,UNKONWN
147,29-Apr-2017,2017,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17h10,UNKNOWN,2017,APR,SURFING,No,MINOR INJURIES,UNKONWN
148,29-Apr-2017,2017,Unprovoked,USA,SOUTH CAROLINA,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11h00,UNKNOWN,2017,APR,SURFING,No,BITTEN,UNKONWN
149,29-Apr-2017,2017,Unprovoked,REUNION,SAINT-LEU,Pointe au Sal,Body boarding,M,28,FATAL,Y,11h15,UNKNOWN,2017,APR,BOARDING,No,FATAL INJURY,UNKONWN
150,27-Apr-2017,2017,Unprovoked,NEW ZEALAND,SOUTH ISLAND,"Porpoise Bay, Catlins",Body boarding,F,20,Puncture wounds & laceration above knee,N,14h00,UNKNOWN,2017,APR,BOARDING,No,LACERATIONS,UNKONWN
152,22-Apr-2017,2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",ASCENSION ISLAND,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16h00,UNKNOWN,2017,APR,SNORKELING,No,BITTEN,UNKONWN
154,17-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Daytona Beach, Volusia County",UNKNOWN,X,UNKNOWN,Minor bite to the foot,N,Afternoon,UNKNOWN,2017,APR,UNKONWN,No,MINOR INJURIES,UNKONWN
155,17-Apr-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16h00,White shark,2017,APR,SURFING,No,FATAL INJURY,WHITE
156,14-Apr-2017,2017,Unprovoked,USA,HAWAII,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",2017,APR,SURFING,No,INJURED,TIGER
157,13-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13h30,UNKNOWN,2017,APR,SURFING,No,LACERATIONS,UNKONWN
158,12-Apr-2017,2017,Unprovoked,USA,FLORIDA,St. Augustine,Surfing,F,UNKNOWN,Lacerations to right foot,N,13h45,UNKNOWN,2017,APR,SURFING,No,LACERATIONS,UNKONWN
160,11-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16h00,UNKNOWN,2017,APR,SURFING,No,BITTEN,UNKONWN
161,10-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,17h45,UNKNOWN,2017,APR,BOARDING,No,LACERATIONS,UNKONWN
162,10-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17h00,UNKNOWN,2017,APR,SWIMMING,No,MINOR INJURIES,UNKONWN
163,06-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,UNKNOWN,UNKNOWN,2017,APR,SWIMMING,No,INJURED,UNKONWN
164,05-Apr-2017,2017,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13h00,UNKNOWN,2017,APR,SWIMMING,No,MINOR INJURIES,UNKONWN
165,02-Apr-2017,2017,Unprovoked,AUSTRALIA,QUEENSLAND,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,UNKNOWN,2017,APR,KAKAYING,No,NO INJURY,UNKONWN
166,02-Apr-2017,2017,Unprovoked,USA,FLORIDA,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",2017,APR,SWIMMING,No,LACERATIONS,BULL
167,27-Mar-2017,2017,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10h00,UNKNOWN,2017,MAR,SURFING,No,MINOR INJURIES,UNKONWN
168,19-Mar-2017,2017,Unprovoked,AUSTRALIA,NEW SOUTH WALES,The Farm,Body boarding,M,30,Minor,N,18h30,UNKNOWN,2017,MAR,BOARDING,No,MINOR INJURIES,UNKONWN
169,18-Mar-2017,2017,Boat,USA,CALIFORNIA,Monterey Bay,Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,14h30,White shark,2017,MAR,KAYAKING,Yes,NO INJURY,WHITE
170,11-Mar-2017,2017,Unprovoked,PHILIPPINES,LUZON ISLAND,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,UNKNOWN,10' shark,2017,MAR,SPEARFISHING,No,INJURED,UNKONWN
171,Reported 09-Mar-2017,2017,Unprovoked,BAHAMAS,GREAT EXUMA,UNKNOWN,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,UNKNOWN,Lemon shark,2017,MAR,WASHING,No,LACERATIONS,LEMON
172,25-Feb-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Mauds Point,Snorkeling,F,UNKNOWN,Hand bitten,N,Morning,"Bull shark, 1.5",2017,FEB,SNORKELING,No,BITTEN,BULL
173,24-Feb-2017,2017,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Falcon Bay Beach, Mandurah",Surfing,M,UNKNOWN,"No injury, shark struck board",N,Morning,UNKNOWN,2017,FEB,SURFING,No,NO INJURY,UNKONWN
174,21-Feb-2017,2017,Unprovoked,REUNION,SAINT-ANDRE,UNKNOWN,Body boarding,M,26,Fatal,Y,09h30,UNKNOWN,2017,FEB,BOARDING,No,FATAL INJURY,UNKONWN
175,17-Feb-2017,2017,Unprovoked,AUSTRALIA,QUEENSLAND,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,10h20,UNKNOWN,2017,FEB,SPEARFISHING,No,BITTEN,UNKONWN
176,11-Feb-2017,2017,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13h30,UNKNOWN,2017,FEB,SWIMMING,No,INJURED,UNKONWN
177,06-Feb-2017,2017,Provoked,BRAZIL,PERNAMBUCO,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,UNKNOWN,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,2017,FEB,GRABBING,No,MINOR INJURIES,LEMON
178,06-Feb-2017,2017,Boat,SOUTH AFRICA,KWAZULU-NATAL,Eastmoor Crescent Beach,Kayak fishing,M,UNKNOWN,"Shark damaged kayak, no injury to occupant",N,UNKNOWN,Tiger shark,2017,FEB,FISHING,Yes,NO INJURY,TIGER
179,01-Feb-2017,2017,Boat,USA,SOUTH CAROLINA,16 miles off Hilton Head,Tagging sharks,X,UNKNOWN,"Shark bit boat, no injury to occupants",N,UNKNOWN,"White shark, female, 14'",2017,FEB,TAGGING,Yes,NO INJURY,WHITE
180,01-Feb-2017,2017,Unprovoked,BAHAMAS,BIMINI,UNKNOWN,Scuba Diving,M,37,Lacerations to upper right arm,N,UNKNOWN,Caribbean reef shark,2017,FEB,DIVING,No,LACERATIONS,REEF
181,24-Jan-2017,2017,Unprovoked,BRAZIL,PERNAMBUCO,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,13h20,UNKNOWN,2017,JAN,SWIMMING,No,LACERATIONS,UNKONWN
182,22-Jan-2017,2017,Unprovoked,USA,FLORIDA,"Vero Beach, Indian River County",UNKNOWN,M,UNKNOWN,Puncture wounds to lower arm or hand,N,14h00,UNKNOWN,2017,JAN,UNKONWN,No,PUNCTURED,UNKONWN
183,21-Jan-2017,2017,Unprovoked,AUSTRALIA,QUEENSLAND,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",2017,JAN,DIVING,No,INJURED,BULL
184,13-Jan-2017,2017,Unprovoked,AUSTRALIA,QUEENSLAND,Clairview,Swimming,M,57,Injury to hand,N,13h30,UNKNOWN,2017,JAN,SWIMMING,No,INJURED,UNKONWN
185,13-Jan-2017,2017,Unprovoked,USA,FLORIDA,Jensen Beach,UNKNOWN,M,UNKNOWN,Minor injury to hand,N,Morning,UNKNOWN,2017,JAN,UNKONWN,No,MINOR INJURIES,UNKONWN
186,09-Jan-2017,2017,Unprovoked,INDONESIA,BALI,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",2017,JAN,SURFING,No,INJURED,BULL
188,05-Jan-2017,2017,Unprovoked,USA,FLORIDA,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,12h30,UNKNOWN,2017,JAN,WADING,No,MINOR INJURIES,UNKONWN
190,27-Dec-2016,2016,Unprovoked,USA,FLORIDA,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,17h00,UNKNOWN,2016,DEC,SURFING,No,LACERATIONS,UNKONWN
191,24-Dec-2016,2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,UNKNOWN,Buttock bitten,N,Morning,a small shark,2016,DEC,SNORKELING,No,BITTEN,SMALL
192,19-Dec-2016,2016,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",2016,DEC,SKIING,No,NO INJURY,WHITE
193,14-Dec-2016,2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,09h30,UNKNOWN,2016,DEC,DIVING,No,PUNCTURED,UNKONWN
194,11-Dec-2016,2016,Unprovoked,FRENCH POLYNESIA,TUAMOTOS,Takapoto Atoll,Fishing,M,40,Hand injured?,N,UNKNOWN,UNKNOWN,2016,DEC,FISHING,Yes,INJURED,UNKONWN
196,06-Dec-2016,2016,Provoked,AUSTRALIA,NEW SOUTH WALES,Merimbula,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m",2016,DEC,FISHING,Yes,LACERATIONS,WOBBEGONG
197,01-Dec-2016,2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,2016,DEC,SURFING,No,INJURED,WHITE
198,28-Nov-2016,2016,Provoked,AUSTRALIA,VICTORIA,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m",2016,NOV,FISHING,Yes,LACERATIONS,SEVENGILL
199,14-Nov-2016,2016,Unprovoked,USA,HAWAII,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,2016,NOV,FLOATING,No,INJURED,TIGER
200,30-Oct-2016,2016,Unprovoked,USA,FLORIDA,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,UNKNOWN,2016,OCT,SURFING,No,LACERATIONS,UNKONWN
201,29-Oct-2016,2016,Unprovoked,USA,FLORIDA,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Afternoon,UNKNOWN,2016,OCT,SURFING,No,LACERATIONS,UNKONWN
202,24-Oct-2016,2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,07h30,UNKNOWN,2016,OCT,SURFING,No,LACERATIONS,UNKONWN
203,21-Oct-2016,2016,Unprovoked,USA,HAWAII,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N,17h00,6' to 8' shark,2016,OCT,SURFING,No,INJURED,UNKONWN
204,15-Oct-2016,2016,Unprovoked,AUSTRALIA,QUEENSLAND,"Kings Beach, Caloundra",Surfing,M,UNKNOWN,Torso nipped,N,18h00,UNKNOWN,2016,OCT,SURFING,No,OTHERS,UNKONWN
205,14-Oct-2016,2016,Unprovoked,USA,HAWAII,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,09h50,UNKNOWN,2016,OCT,SNORKELING,No,INJURED,UNKONWN
207,12-Oct-2016,2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,UNKNOWN,2016,OCT,SURFING,No,BITTEN,UNKONWN
208,10-Oct-2016,2016,Unprovoked,USA,OREGON,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,UNKNOWN,2016,OCT,SURFING,No,OTHERS,UNKONWN
209,02-Oct-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,UNKNOWN,2016,OCT,SURFING,No,OTHERS,UNKONWN
210,01-Oct-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,17h30,UNKNOWN,2016,OCT,UNKONWN,No,MINOR INJURIES,UNKONWN
211,26-Sep-2016,2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",2016,SEP,SURFING,No,LACERATIONS,WHITE
212,18-Sep-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,13h00,UNKNOWN,2016,SEP,SURFING,No,MINOR INJURIES,UNKONWN
213,18-Sep-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,11h00,UNKNOWN,2016,SEP,SURFING,No,LACERATIONS,UNKONWN
214,18-Sep-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,10h43,UNKNOWN,2016,SEP,SURFING,No,LACERATIONS,UNKONWN
215,17-Sep-2016,2016,Unprovoked,USA,CALIFORNIA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,After noon,UNKNOWN,2016,SEP,SURFING,No,NO INJURY,UNKONWN
216,17-Sep-2016,2016,Unprovoked,AUSTRALIA,VICTORIA,Thirteenth Beach,Surfing,M,UNKNOWN,Struck by fin on chest & leg,N,UNKNOWN,UNKNOWN,2016,SEP,SURFING,No,OTHERS,UNKONWN
217,16-Sep-2016,2016,Unprovoked,AUSTRALIA,VICTORIA,Bells Beach,Surfing,M,UNKNOWN,No injury: Knocked off board by shark,N,UNKNOWN,2 m shark,2016,SEP,SURFING,No,NO INJURY,UNKONWN
218,15-Sep-2016,2016,Boat,AUSTRALIA,WESTERN AUSTRALIA,Bunbury,Fishing,X,UNKNOWN,Shark rammed boat. No injury to occupant,N,UNKNOWN,UNKNOWN,2016,SEP,FISHING,Yes,NO INJURY,UNKONWN
219,11-Sep-2016,2016,Unprovoked,USA,FLORIDA,"Ponte Vedra, St. Johns County",Wading,M,60,Minor injury to arm,N,15h15,3' to 4' shark,2016,SEP,WADING,No,MINOR INJURIES,UNKONWN
220,07-Sep-2016,2016,Unprovoked,USA,HAWAII,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",2016,SEP,SWIMMING,No,LACERATIONS,TIGER
221,06-Sep-2016,2016,Unprovoked,NEW CALEDONIA,NORTH PROVINCE,Koumac,Kite surfing,M,50,FATAL,Y,15h40,UNKNOWN,2016,SEP,SURFING,No,FATAL INJURY,UNKONWN
222,05-Sep-2016,2016,Unprovoked,USA,SOUTH CAROLINA,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,UNKNOWN,2016,SEP,BOARDING,No,LACERATIONS,UNKONWN
223,05-Sep-2016,2016,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Injidup,Surfing,M,UNKNOWN,"No inury, board broken in half by shark",N,Late afternoon,UNKNOWN,2016,SEP,SURFING,No,OTHERS,UNKONWN
224,04-Sep-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Body boarding,M,9,Foot bitten,N,UNKNOWN,UNKNOWN,2016,SEP,BOARDING,No,BITTEN,UNKONWN
225,01-Sep-2016,2016,Unprovoked,USA,CALIFORNIA,"Refugio State Beach, Santa Barbara County",Spearfishing,M,22,Two toes broken & lacerated,N,UNKNOWN,"White shark, 8' to 10'",2016,SEP,SPEARFISHING,No,LACERATIONS,WHITE
227,29-Aug-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",2016,AUG,SURFING,No,LACERATIONS,BULL
228,29-Aug-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,37,Minor injury to ankle,N,14h00,UNKNOWN,2016,AUG,SURFING,No,MINOR INJURIES,UNKONWN
229,27-Aug-2016,2016,Unprovoked,REUNION,UNKNOWN,Boucan Canot,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",2016,AUG,SURFING,No,BITTEN,BULL
230,25-Aug-2016,2016,Unprovoked,USA,FLORIDA,"Ponte Vedra, St. Johns County",Wading,M,49,Minor injury to ankle,N,16h00,UNKNOWN,2016,AUG,WADING,No,MINOR INJURIES,UNKONWN
231,07-Aug-2016,2016,Unprovoked,BAHAMAS,NEW PROVIDENCE ISLAND,Nassau,Snorkeling,M,15,Lacerations to left leg,N,UNKNOWN,UNKNOWN,2016,AUG,SNORKELING,No,LACERATIONS,UNKONWN
232,06-Aug-2016,2016,Unprovoked,USA,HAWAII,Maui,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10'",2016,AUG,BOARDING,No,OTHERS,TIGER
233,04-Aug-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,22,Big toe bitten,N,UNKNOWN,Blacktip shark,2016,AUG,SURFING,No,BITTEN,BLACKTIP
234,29-Jul-2016,2016,Unprovoked,SPAIN,ALICANTE PROVINCE,Arenales del Sol,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,2016,JUL,SWIMMING,No,LACERATIONS,BLUE
235,28-Jul-2016,2016,Unprovoked,CHINA,HONG KONG,UNKNOWN,Swimming,M,72,Lacerations to leg,N,UNKNOWN,UNKNOWN,2016,JUL,SWIMMING,No,LACERATIONS,UNKONWN
236,28-Jul-2016,2016,Boat,AUSTRALIA,WESTERN AUSTRALIA,Near Albany,Kayaking,M,UNKNOWN,"No injury, shark nudged kayak repeatedly",N,UNKNOWN,White shark,2016,JUL,KAYAKING,Yes,NO INJURY,WHITE
237,27-Jul-2016,2016,Provoked,USA,FLORIDA,"Florida Keys, Monroe County",Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,UNKNOWN,"Nurse shark, 4'",2016,JUL,LOBSTERING,No,LACERATIONS,NURSE
238,26-Jul-2016,2016,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,UNKNOWN,2016,JUL,SURFING,No,NO INJURY,UNKONWN
239,24-Jul-2016,2016,Unprovoked,JAPAN,KOCHI PREFECTURE,Irino Beach,Surfing,M,29,Lacerations to left leg,N,19h05,UNKNOWN,2016,JUL,SURFING,No,LACERATIONS,UNKONWN
240,23-Jul-2016,2016,Unprovoked,AUSTRALIA,TASMANIA,Clifton Beach,Surfing,M,36,Calf bumped but no injury,N,UNKNOWN,UNKNOWN,2016,JUL,SURFING,No,NO INJURY,UNKONWN
241,23-Jul-2016,2016,Unprovoked,BAHAMAS,ABACO ISLANDS,Green Turtle Cay,Spearfishing,M,UNKNOWN,Lacerations to face and right leg,N,UNKNOWN,"Bull shark, 6'",2016,JUL,SPEARFISHING,No,LACERATIONS,BULL
242,20-Jul-2016,2016,Provoked,AUSTRALIA,QUEENSLAND,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m",2016,JUL,FISHING,Yes,LACERATIONS,REEF
243,17-Jul-2016,2016,Boat,USA,ALABAMA,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,X,UNKNOWN,"No injury, shark bit trolling motor",N,UNKNOWN,"Tiger shark, 10'",2016,JUL,FISHING,Yes,NO INJURY,TIGER
244,16-Jul-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,1300,UNKNOWN,2016,JUL,SURFING,No,MINOR INJURIES,UNKONWN
245,16-Jul-2016,2016,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",UNKNOWN,F,11,Minor injury to toes,N,11h00,UNKNOWN,2016,JUL,UNKONWN,No,MINOR INJURIES,UNKONWN
246,15-Jul-2016,2016,Unprovoked,USA,CALIFORNIA,"Surfside, Orange County",Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",2016,JUL,SURFING,No,NO INJURY,WHITE
247,15-Jul-2016,2016,Unprovoked,USA,SOUTH CAROLINA,"North Myrtle Beach, Horry County",Swimming,M,UNKNOWN,Puncture wounds to foot,N,UNKNOWN,UNKNOWN,2016,JUL,SWIMMING,No,PUNCTURED,UNKONWN
248,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,UNKNOWN,Tiger Beach,Scuba Diving,M,UNKNOWN,Face bruised when partly blind shark collided with him,N,UNKNOWN,"Lemon shark, 9'",2016,JUL,DIVING,No,OTHERS,LEMON
249,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,CANARY ISLANDS,"Las Teresitas, Tenerife",Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,UNKNOWN,Angel shark,2016,JUL,WADING,No,PUNCTURED,ANGEL
250,08-Jul-2016,2016,Boat,USA,CALIFORNIA,"Capitola, Santa Cruz County",Fishing for squid,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White shark,2016,JUL,FISHING,Yes,NO INJURY,WHITE
251,07-Jul-2016,2016,Provoked,USA,MASSACHUSETTS,"Off Gloucester, Essec County",Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,2016,JUL,FISHING,Yes,INJURED,DOGFISH
252,07-Jul-2016,2016,Boat,USA,CALIFORNIA,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,UNKNOWN,"No injury. Hull bitten, tooth fragment recovered",N,UNKNOWN,White shark,2016,JUL,FISHING,Yes,NO INJURY,WHITE
253,06-Jul-2016,2016,Unprovoked,USA,FLORIDA,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,UNKNOWN,2016,JUL,SWIMMING,No,INJURED,UNKONWN
254,04-Jul-2016,2016,Provoked,AUSTRALIA,QUEENSLAND,Palm Cove,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,2016,JUL,FISHING,Yes,INJURED,NURSE
255,27-Jun-2016,2016,Unprovoked,USA,SOUTH CAROLINA,Sullivan's Island,UNKNOWN,M,35,Minor injury,N,16h20,3' to 4' shark,2016,JUN,UNKONWN,No,MINOR INJURIES,UNKONWN
